cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning,complaints_per_100_footfall
6.4,5.6,69.2,3,789,5.0,0.38022813688212925
4.2,6.7,58.4,6,220,5.0,2.727272727272727
6.6,4.1,59.8,4,80,10.9,5.0
6.1,6.5,64.6,4,414,10.7,0.966183574879227
6.9,5.1,19.4,4,670,3.2,0.5970149253731344
6.6,3.5,49.5,3,158,9.3,1.89873417721519
5.6,6.0,34.5,4,320,29.0,1.25
6.0,7.6,69.0,6,399,24.7,1.5037593984962405
2.2,9.5,74.3,6,606,8.5,0.9900990099009901
4.6,5.0,56.7,4,491,11.0,0.8146639511201629
8.2,2.8,29.1,0,391,4.6,0.0
2.4,10.0,87.8,7,200,2.5,3.5000000000000004
6.1,4.9,42.8,4,450,19.9,0.8888888888888888
10.0,1.0,18.3,3,751,7.9,0.3994673768308922
10.0,1.0,16.5,0,387,7.4,0.0
7.1,4.2,39.4,4,516,5.5,0.7751937984496124
6.5,4.0,28.5,6,767,0.8,0.7822685788787485
3.8,8.8,81.9,5,206,0.5,2.4271844660194173
5.4,5.3,34.0,5,145,14.7,3.4482758620689653
6.4,2.9,17.6,4,806,1.1,0.49627791563275436
7.2,4.4,30.5,5,512,7.8,0.9765625
8.1,3.9,14.8,6,279,32.5,2.1505376344086025
6.0,4.1,26.3,7,435,0.5,1.6091954022988506
10.0,1.0,2.8,0,538,10.9,0.0
7.3,3.1,51.9,2,527,3.7,0.3795066413662239
2.1,10.0,83.8,11,594,0.9,1.8518518518518516
6.0,4.5,27.0,4,686,11.5,0.5830903790087464
8.7,3.9,20.3,3,885,0.5,0.3389830508474576
5.0,7.8,53.9,6,355,14.7,1.6901408450704223
6.4,5.2,24.3,6,272,5.3,2.2058823529411766
7.4,1.7,59.1,3,487,12.2,0.6160164271047228
6.4,7.5,33.3,5,802,1.0,0.6234413965087282
5.8,5.7,48.3,8,344,3.0,2.3255813953488373
7.1,5.5,31.6,2,719,6.7,0.27816411682892905
6.5,6.3,69.9,4,127,8.9,3.149606299212598
6.5,3.2,42.6,0,241,30.6,0.0
8.7,3.2,26.5,3,30,4.6,10.0
3.7,7.2,53.9,8,611,8.1,1.309328968903437
7.6,4.0,22.8,7,484,1.1,1.4462809917355373
7.5,4.8,20.1,6,581,1.7,1.0327022375215147
7.8,3.6,20.6,2,308,14.6,0.6493506493506493
6.4,5.8,23.4,5,402,35.1,1.2437810945273633
6.8,3.6,38.9,3,460,0.5,0.6521739130434783
7.2,2.7,23.4,3,198,2.2,1.5151515151515151
6.0,4.4,50.6,6,524,0.5,1.1450381679389312
8.2,2.2,25.6,0,175,4.2,0.0
9.7,1.6,12.2,2,434,4.0,0.4608294930875576
6.2,5.5,55.3,6,864,7.5,0.6944444444444444
3.2,6.4,44.0,9,211,1.5,4.265402843601896
9.8,1.6,8.9,0,822,3.3,0.0
5.7,4.7,41.5,4,494,36.0,0.8097165991902834
4.2,8.8,69.1,6,316,12.3,1.89873417721519
2.4,7.1,73.4,8,883,5.1,0.9060022650056626
7.0,4.1,36.7,1,403,3.0,0.24813895781637718
4.1,7.6,68.0,7,497,5.6,1.4084507042253522
5.6,3.6,40.7,4,327,27.9,1.2232415902140672
4.4,6.2,45.1,7,273,8.2,2.564102564102564
6.2,3.7,46.6,6,441,6.4,1.3605442176870748
3.8,6.2,91.0,6,364,5.1,1.6483516483516485
5.4,6.5,29.8,4,20,8.3,20.0
4.7,6.3,64.9,6,438,3.7,1.36986301369863
4.5,6.6,55.3,4,400,15.0,1.0
4.0,7.1,62.5,7,422,3.1,1.6587677725118484
10.0,2.4,24.6,4,402,16.8,0.9950248756218906
4.5,6.8,66.9,9,555,9.6,1.6216216216216217
6.4,5.0,20.3,2,246,3.4,0.8130081300813009
7.1,4.7,39.5,6,798,2.8,0.7518796992481203
7.6,2.8,24.9,3,260,3.6,1.153846153846154
6.9,4.3,50.8,2,434,0.7,0.4608294930875576
8.9,1.8,0.0,0,290,4.1,0.0
5.6,4.9,52.4,6,372,17.3,1.6129032258064515
9.0,5.3,46.1,4,360,4.1,1.1111111111111112
6.3,3.8,65.7,6,669,6.0,0.8968609865470852
6.7,4.2,36.0,4,151,0.9,2.6490066225165565
8.4,3.0,2.2,0,759,2.3,0.0
5.2,5.9,39.3,3,604,3.9,0.49668874172185434
8.8,1.2,24.5,4,225,2.8,1.7777777777777777
9.8,3.8,0.0,1,573,4.0,0.17452006980802792
5.4,4.0,55.0,6,795,0.5,0.7547169811320755
6.7,4.1,51.0,1,819,2.2,0.1221001221001221
7.5,4.2,19.6,3,469,3.5,0.6396588486140725
4.9,5.5,73.3,6,829,8.8,0.7237635705669482
8.2,4.0,12.4,4,402,0.5,0.9950248756218906
4.9,4.7,68.6,8,438,2.7,1.82648401826484
5.8,4.3,52.3,4,125,6.6,3.2
10.0,1.0,0.0,0,318,8.6,0.0
6.6,4.3,64.6,8,392,10.9,2.0408163265306123
4.9,4.4,54.2,6,114,2.3,5.263157894736842
7.3,6.1,35.5,1,353,7.6,0.28328611898017
6.0,5.8,38.2,4,194,4.8,2.0618556701030926
3.4,8.6,78.4,10,293,3.0,3.4129692832764507
5.5,5.6,71.2,5,533,7.3,0.9380863039399625
6.6,4.3,47.1,5,525,3.9,0.9523809523809524
7.2,3.2,48.2,8,526,2.8,1.520912547528517
7.1,4.0,21.9,5,688,7.5,0.7267441860465116
6.0,5.2,52.2,5,631,2.9,0.7923930269413629
5.3,5.3,42.2,6,211,1.4,2.843601895734597
4.2,7.2,49.4,8,394,1.1,2.030456852791878
6.3,5.6,46.5,8,441,5.3,1.8140589569160999
6.1,4.6,54.8,7,311,0.5,2.2508038585209005
6.3,5.8,55.4,7,424,1.7,1.650943396226415
4.9,4.5,55.5,8,727,13.3,1.1004126547455295
8.3,3.0,11.3,0,502,27.1,0.0
7.7,4.7,50.8,4,250,2.0,1.6
6.5,1.3,44.8,5,744,17.6,0.6720430107526881
6.3,5.1,56.3,3,20,3.3,15.0
4.6,7.1,61.1,9,208,23.3,4.326923076923077
6.9,3.3,10.8,5,758,3.7,0.6596306068601583
3.7,7.2,64.1,11,552,6.7,1.9927536231884055
5.1,6.7,77.0,8,490,27.2,1.6326530612244898
9.5,2.5,19.6,0,336,10.9,0.0
3.5,7.2,87.5,7,612,3.2,1.1437908496732025
4.7,7.7,53.0,6,297,10.4,2.0202020202020203
7.0,3.9,42.4,1,741,2.0,0.1349527665317139
7.3,3.1,38.6,3,371,4.0,0.8086253369272237
9.0,1.6,34.9,0,249,4.6,0.0
9.4,1.0,10.2,0,237,0.9,0.0
4.7,7.8,65.1,7,166,0.8,4.216867469879518
5.1,5.3,50.3,9,239,11.4,3.765690376569038
9.0,2.5,17.6,3,330,4.6,0.9090909090909091
5.2,5.7,37.5,3,20,11.4,15.0
6.3,4.0,30.9,4,623,5.3,0.6420545746388443
9.9,4.5,4.5,3,581,9.0,0.5163511187607573
5.3,2.7,48.0,3,320,2.6,0.9375
8.7,1.9,12.1,3,279,6.3,1.0752688172043012
7.8,2.3,38.4,4,438,0.5,0.91324200913242
6.9,4.1,66.7,7,326,0.5,2.147239263803681
8.5,1.0,40.7,2,157,2.0,1.2738853503184715
3.1,5.4,96.9,12,323,0.5,3.7151702786377707
9.0,1.0,11.6,0,485,9.3,0.0
8.3,1.0,40.0,2,778,1.0,0.2570694087403599
5.5,5.3,43.2,5,344,9.3,1.4534883720930232
7.3,4.0,16.9,5,307,6.0,1.6286644951140066
6.6,5.2,57.7,6,538,5.8,1.1152416356877324
7.1,3.3,45.6,2,20,13.0,10.0
5.6,6.2,32.0,5,45,0.5,11.11111111111111
5.2,4.8,52.3,7,523,12.2,1.338432122370937
5.6,7.2,49.1,6,512,26.7,1.171875
4.1,6.3,58.1,5,506,13.2,0.9881422924901186
6.2,4.5,45.4,4,370,1.5,1.0810810810810811
7.1,2.5,50.9,4,757,5.7,0.5284015852047557
6.2,4.3,52.2,6,384,2.7,1.5625
8.1,3.0,26.0,5,498,12.0,1.0040160642570282
4.5,3.9,67.8,3,88,22.4,3.4090909090909087
5.6,4.2,45.4,5,559,10.1,0.8944543828264758
9.5,1.0,22.1,3,539,2.2,0.5565862708719851
8.3,2.4,23.0,3,429,6.5,0.6993006993006993
5.7,4.5,49.5,4,511,5.0,0.7827788649706457
8.9,1.4,31.1,2,595,1.9,0.33613445378151263
8.5,4.1,36.7,2,259,2.7,0.7722007722007722
6.0,5.7,42.2,2,181,16.7,1.1049723756906076
4.3,7.7,78.0,4,275,36.0,1.4545454545454546
7.0,5.3,27.2,5,602,0.7,0.8305647840531563
4.5,4.3,68.2,4,145,5.4,2.7586206896551726
6.8,6.3,46.8,5,415,8.3,1.2048192771084338
6.4,1.0,33.4,1,508,25.9,0.19685039370078738
5.3,4.6,48.5,3,29,0.6,10.344827586206897
4.6,6.3,71.5,5,242,7.0,2.066115702479339
6.4,3.5,43.4,6,594,12.7,1.0101010101010102
6.0,3.5,38.5,4,450,13.4,0.8888888888888888
6.5,1.8,41.2,7,679,5.5,1.0309278350515463
3.9,5.1,63.3,7,25,1.8,28.000000000000004
5.1,6.8,39.5,4,489,8.1,0.81799591002045
4.7,3.6,55.4,7,382,1.1,1.832460732984293
6.6,3.8,37.2,4,64,5.7,6.25
4.2,4.4,63.5,7,427,8.5,1.639344262295082
7.2,4.1,62.2,5,214,10.1,2.336448598130841
6.3,6.9,50.2,5,380,5.9,1.3157894736842104
6.6,4.5,43.7,3,356,3.4,0.8426966292134831
5.1,5.4,38.5,4,366,36.0,1.092896174863388
7.2,2.4,31.4,4,94,3.8,4.25531914893617
6.8,6.5,46.9,5,398,11.6,1.256281407035176
3.9,7.2,66.6,10,736,4.3,1.358695652173913
4.6,7.7,55.4,5,20,8.0,25.0
10.0,1.0,12.1,0,671,1.6,0.0
5.6,4.3,30.2,2,20,2.4,10.0
8.1,1.0,26.6,3,581,13.3,0.5163511187607573
7.1,7.2,24.4,2,492,1.4,0.40650406504065045
6.3,6.9,37.1,6,716,6.4,0.8379888268156425
5.0,6.1,44.1,7,751,17.0,0.9320905459387484
4.7,3.5,26.2,6,454,23.3,1.3215859030837005
6.0,6.3,47.9,4,228,1.5,1.7543859649122806
7.6,2.2,5.6,5,541,15.5,0.9242144177449169
8.2,1.0,13.2,4,730,0.6,0.547945205479452
5.8,5.9,38.8,3,794,6.4,0.3778337531486146
10.0,1.0,10.1,1,583,0.5,0.17152658662092624
4.3,5.1,76.5,6,766,4.6,0.7832898172323759
7.0,5.7,30.2,4,699,6.0,0.5722460658082975
8.5,1.6,25.6,4,129,2.5,3.10077519379845
9.3,1.4,27.1,2,106,6.1,1.8867924528301887
5.4,6.3,68.2,7,585,9.6,1.1965811965811968
4.1,6.3,47.9,4,630,12.6,0.6349206349206349
6.8,3.1,54.6,7,427,1.0,1.639344262295082
5.0,4.7,68.4,6,406,5.4,1.477832512315271
4.4,6.2,81.7,9,627,3.1,1.4354066985645932
7.1,4.7,33.4,4,596,7.8,0.6711409395973155
8.4,3.9,23.3,3,781,8.1,0.3841229193341869
5.7,5.7,65.3,0,333,11.1,0.0
5.5,6.6,69.4,10,369,2.5,2.710027100271003
6.6,4.1,28.2,5,56,4.8,8.928571428571429
6.0,7.1,73.6,4,225,10.4,1.7777777777777777
5.4,4.7,43.4,4,654,4.4,0.6116207951070336
7.5,1.3,31.1,4,367,8.7,1.08991825613079
8.4,2.7,23.7,1,583,3.5,0.17152658662092624
7.7,2.9,13.0,3,446,7.4,0.672645739910314
6.2,2.4,22.8,2,654,2.6,0.3058103975535168
4.4,6.7,65.0,6,292,0.8,2.054794520547945
6.2,4.9,48.2,5,450,4.1,1.1111111111111112
4.2,7.1,52.1,6,501,11.2,1.1976047904191618
8.1,5.4,29.1,3,645,27.5,0.46511627906976744
4.6,7.3,60.3,8,700,1.8,1.1428571428571428
8.1,4.7,28.5,2,152,4.9,1.3157894736842104
8.1,3.0,44.0,1,510,3.8,0.19607843137254902
3.9,6.1,63.8,4,311,2.1,1.2861736334405145
6.4,4.1,50.8,6,628,2.9,0.9554140127388535
7.4,5.5,30.7,5,522,5.0,0.9578544061302682
7.0,4.5,50.9,7,364,18.4,1.9230769230769231
7.3,4.6,35.2,3,639,7.6,0.4694835680751174
7.2,4.0,27.0,1,280,3.7,0.35714285714285715
5.1,5.2,51.8,5,347,0.5,1.440922190201729
5.5,4.9,53.1,3,596,5.6,0.5033557046979865
7.0,6.0,70.4,6,470,19.8,1.276595744680851
4.5,6.4,32.1,5,450,7.2,1.1111111111111112
7.6,3.8,27.2,4,417,3.7,0.9592326139088728
9.0,1.0,12.7,0,137,9.1,0.0
7.0,2.4,18.5,6,420,6.9,1.4285714285714286
4.7,6.4,44.9,4,210,1.8,1.9047619047619049
4.6,6.8,54.7,6,20,5.5,30.0
6.3,4.9,43.0,3,364,6.1,0.8241758241758242
5.3,5.9,51.5,5,889,2.2,0.562429696287964
8.7,1.6,38.0,1,706,12.8,0.141643059490085
5.4,7.6,48.4,4,388,11.1,1.0309278350515463
9.3,1.7,0.0,2,222,0.5,0.9009009009009009
4.8,5.7,56.2,8,309,36.0,2.5889967637540456
