cleanliness_score,odor_score,waste_level,complaints,footfall,hours_since_cleaning
9.4,1.0,19.7,3,391,4.3
5.8,6.1,79.9,12,735,6.4
4.1,7.0,56.4,6,263,36.0
4.5,6.7,58.7,4,523,4.0
6.5,3.4,46.9,4,649,5.4
5.4,6.0,38.2,6,712,10.7
8.7,2.0,24.0,0,535,2.8
10.0,3.2,25.3,0,302,13.4
6.4,5.6,43.1,6,60,5.3
6.9,1.6,26.7,3,757,0.5
2.8,7.0,73.7,6,196,2.9
3.6,9.1,59.2,4,532,18.4
10.0,3.4,37.9,4,773,0.8
8.8,4.3,28.2,1,413,2.3
5.1,6.7,45.5,3,357,15.4
6.7,6.3,39.4,5,583,28.7
3.4,6.6,44.0,5,482,3.5
4.0,8.0,69.7,6,553,3.6
4.4,5.7,50.6,5,628,2.5
10.0,1.0,1.1,0,966,4.6
10.0,1.0,21.0,1,415,13.3
3.8,6.4,67.7,7,360,5.1
5.5,5.7,61.4,3,443,8.6
5.4,4.7,36.2,4,535,0.7
9.4,2.2,0.0,1,254,1.3
8.8,1.0,17.4,0,447,1.9
3.9,8.2,74.4,8,580,10.4
8.4,1.0,34.3,0,531,16.2
4.8,7.5,31.4,6,328,21.9
9.7,2.9,24.8,3,612,10.2
5.7,6.5,60.2,5,484,3.5
6.9,3.6,33.0,5,176,3.3
7.1,2.9,21.0,4,813,2.1
9.3,2.6,20.9,4,577,3.0
9.7,2.9,13.3,4,770,1.1
5.9,5.8,70.7,3,547,10.3
6.9,4.4,58.9,3,701,2.7
7.5,2.4,51.7,3,647,17.2
7.4,2.5,22.3,3,700,4.5
8.5,3.7,38.2,4,236,4.2
5.1,5.8,44.1,9,413,8.7
6.8,3.7,59.6,3,635,6.1
5.1,4.7,72.6,4,667,25.9
5.2,5.4,49.7,3,299,14.0
8.8,4.6,18.7,2,398,19.8
5.9,7.3,60.4,5,333,1.2
5.8,4.0,47.2,6,534,2.9
7.8,4.7,26.7,2,274,5.0
6.9,5.6,53.4,4,243,1.9
6.0,5.8,55.0,5,558,0.5
5.2,6.0,73.0,7,295,10.2
9.7,1.0,0.0,1,298,4.1
6.7,2.4,47.0,4,334,4.3
5.1,6.6,49.4,7,597,5.4
7.9,4.9,25.7,4,565,1.4
8.9,1.5,4.3,3,493,8.6
4.6,5.0,66.4,4,514,3.3
5.8,5.3,52.5,3,353,14.5
4.9,8.1,51.4,5,670,1.6
8.4,2.2,36.4,4,41,0.7
6.0,4.2,46.8,6,383,3.1
5.2,7.3,47.1,5,539,25.0
5.7,6.1,60.8,7,360,6.8
4.0,8.6,74.1,6,127,10.1
4.3,7.8,64.7,11,225,1.6
5.5,7.7,35.1,3,416,5.6
3.1,8.4,81.4,5,93,9.6
5.8,4.3,39.0,3,491,4.5
6.1,4.2,30.7,1,476,5.2
6.7,3.6,41.7,6,744,6.1
8.6,2.5,13.5,6,571,21.9
8.2,2.2,17.4,2,558,0.6
8.0,3.7,38.8,2,390,9.2
6.7,4.2,43.4,5,552,7.0
7.9,4.4,35.2,3,327,17.7
6.5,5.2,26.0,4,560,4.0
5.7,3.1,44.0,5,873,0.5
6.4,3.4,53.9,2,497,0.8
4.8,3.9,51.5,3,474,8.9
5.4,2.6,62.5,4,463,16.3
7.9,3.1,54.3,5,191,15.1
7.0,2.7,26.8,7,569,3.1
9.1,2.6,0.0,0,102,5.9
5.7,6.3,29.7,2,546,4.4
7.4,3.0,74.1,8,709,3.4
8.1,1.3,22.4,0,473,7.8
9.9,1.0,0.0,0,453,5.7
5.5,8.8,61.4,8,452,18.4
8.6,1.8,55.0,5,739,4.5
10.0,1.0,1.1,0,129,2.6
7.5,4.1,74.6,6,451,3.4
9.1,3.9,33.0,1,519,4.9
7.4,2.7,23.5,5,177,11.4
2.6,8.4,86.9,9,198,1.3
5.9,6.2,82.0,4,215,0.7
8.0,4.6,26.5,3,135,6.2
6.0,3.7,28.6,2,264,7.4
6.5,6.9,30.7,3,564,1.3
7.5,2.7,55.1,1,813,1.1
7.5,4.1,45.5,7,597,0.5
5.1,7.1,26.0,6,477,36.0
5.6,5.4,39.5,6,581,6.6
6.9,4.7,40.2,5,410,3.9
5.3,5.3,49.1,4,401,10.8
10.0,1.0,27.4,1,772,1.7
7.4,3.8,27.5,2,646,7.0
6.2,6.9,44.8,7,216,5.7
4.5,7.9,79.9,7,393,9.7
6.0,5.5,24.3,2,377,1.4
6.4,6.2,40.7,3,293,4.1
7.1,5.4,21.7,4,526,2.9
5.9,5.8,59.8,4,324,11.1
3.7,7.6,78.5,11,522,2.6
5.9,4.0,29.9,6,846,2.4
8.4,4.9,19.3,5,348,3.2
5.1,6.0,24.5,3,307,1.1
4.7,7.1,54.1,7,589,4.8
7.5,3.4,18.0,2,58,7.9
4.8,5.7,50.5,5,465,19.1
8.3,2.7,0.0,5,444,19.5
6.2,3.0,51.9,4,520,5.3
4.9,7.9,44.6,5,148,3.1
9.1,3.6,0.0,1,336,8.3
5.8,6.1,49.1,4,590,23.1
9.3,1.1,26.2,1,303,8.7
7.8,2.7,24.4,2,327,1.2
3.8,7.3,42.6,4,454,6.8
4.6,6.2,66.5,6,376,17.5
8.7,1.0,31.3,1,20,4.4
4.3,6.6,77.9,4,516,9.6
8.5,3.6,29.1,3,943,0.5
3.7,8.5,72.5,8,20,4.1
6.3,3.9,26.5,2,314,1.5
6.2,3.9,49.2,2,431,8.4
5.8,4.6,59.1,7,413,12.4
6.4,5.1,31.8,4,296,15.4
7.0,4.5,66.4,4,248,12.7
6.9,1.7,42.3,6,878,5.5
7.2,1.0,38.2,3,246,2.9
6.0,5.8,37.9,5,391,14.6
8.1,4.5,25.5,4,436,7.8
2.9,7.6,88.8,10,498,0.5
7.9,3.9,21.7,7,945,24.5
5.4,3.7,45.2,3,528,2.5
7.0,2.5,37.7,3,676,13.7
4.3,7.6,64.7,5,551,20.5
5.5,5.7,70.5,4,20,3.1
8.1,4.9,40.0,2,736,18.7
5.7,5.6,46.0,5,453,1.1
7.2,4.5,32.4,5,451,20.4
4.9,5.9,57.2,9,336,0.5
8.4,1.8,27.5,3,735,3.3
5.7,5.4,72.3,5,472,35.9
4.7,7.4,61.5,4,440,5.2
7.7,3.7,62.6,3,270,19.3
5.7,4.6,52.2,6,398,1.2
3.2,6.3,66.1,5,308,3.6
6.4,3.4,52.7,3,522,7.0
4.7,5.7,100.0,9,106,4.2
6.0,5.9,57.9,6,507,11.5
8.0,4.1,30.4,4,415,1.6
5.5,5.5,67.5,6,579,11.5
6.2,4.5,28.5,9,442,8.7
5.7,6.7,64.5,7,520,5.0
7.1,2.8,27.7,3,650,13.8
4.6,8.5,84.6,7,20,2.9
6.0,6.1,45.7,4,142,2.1
3.5,9.8,85.4,11,1148,10.9
6.9,4.3,35.3,2,521,1.1
4.8,4.5,60.1,7,346,4.9
7.7,3.6,19.9,5,124,0.7
6.1,4.6,68.0,6,395,10.5
6.0,5.4,70.8,4,370,3.5
4.7,6.3,66.2,9,445,24.5
9.4,1.0,37.8,2,372,9.6
5.3,8.0,74.7,9,713,8.5
10.0,1.0,8.0,1,47,7.5
9.0,2.3,27.1,3,708,9.1
9.5,2.0,0.0,2,465,8.3
5.7,6.5,45.3,6,497,4.6
8.9,2.7,25.7,3,382,8.9
7.6,4.4,41.4,6,717,7.8
6.4,5.6,69.2,3,789,5.0
4.2,6.7,58.4,6,220,5.0
6.6,4.1,59.8,4,80,10.9
6.1,6.5,64.6,4,414,10.7
6.9,5.1,19.4,4,670,3.2
6.6,3.5,49.5,3,158,9.3
5.6,6.0,34.5,4,320,29.0
6.0,7.6,69.0,6,399,24.7
2.2,9.5,74.3,6,606,8.5
4.6,5.0,56.7,4,491,11.0
8.2,2.8,29.1,0,391,4.6
2.4,10.0,87.8,7,200,2.5
6.1,4.9,42.8,4,450,19.9
10.0,1.0,18.3,3,751,7.9
10.0,1.0,16.5,0,387,7.4
7.1,4.2,39.4,4,516,5.5
6.5,4.0,28.5,6,767,0.8
3.8,8.8,81.9,5,206,0.5
5.4,5.3,34.0,5,145,14.7
6.4,2.9,17.6,4,806,1.1
7.2,4.4,30.5,5,512,7.8
8.1,3.9,14.8,6,279,32.5
6.0,4.1,26.3,7,435,0.5
10.0,1.0,2.8,0,538,10.9
7.3,3.1,51.9,2,527,3.7
2.1,10.0,83.8,11,594,0.9
6.0,4.5,27.0,4,686,11.5
8.7,3.9,20.3,3,885,0.5
5.0,7.8,53.9,6,355,14.7
6.4,5.2,24.3,6,272,5.3
7.4,1.7,59.1,3,487,12.2
6.4,7.5,33.3,5,802,1.0
5.8,5.7,48.3,8,344,3.0
7.1,5.5,31.6,2,719,6.7
6.5,6.3,69.9,4,127,8.9
6.5,3.2,42.6,0,241,30.6
8.7,3.2,26.5,3,30,4.6
3.7,7.2,53.9,8,611,8.1
7.6,4.0,22.8,7,484,1.1
7.5,4.8,20.1,6,581,1.7
7.8,3.6,20.6,2,308,14.6
6.4,5.8,23.4,5,402,35.1
6.8,3.6,38.9,3,460,0.5
7.2,2.7,23.4,3,198,2.2
6.0,4.4,50.6,6,524,0.5
8.2,2.2,25.6,0,175,4.2
9.7,1.6,12.2,2,434,4.0
6.2,5.5,55.3,6,864,7.5
3.2,6.4,44.0,9,211,1.5
9.8,1.6,8.9,0,822,3.3
5.7,4.7,41.5,4,494,36.0
4.2,8.8,69.1,6,316,12.3
2.4,7.1,73.4,8,883,5.1
7.0,4.1,36.7,1,403,3.0
4.1,7.6,68.0,7,497,5.6
5.6,3.6,40.7,4,327,27.9
4.4,6.2,45.1,7,273,8.2
6.2,3.7,46.6,6,441,6.4
3.8,6.2,91.0,6,364,5.1
5.4,6.5,29.8,4,20,8.3
4.7,6.3,64.9,6,438,3.7
4.5,6.6,55.3,4,400,15.0
4.0,7.1,62.5,7,422,3.1
10.0,2.4,24.6,4,402,16.8
4.5,6.8,66.9,9,555,9.6
6.4,5.0,20.3,2,246,3.4
7.1,4.7,39.5,6,798,2.8
7.6,2.8,24.9,3,260,3.6
6.9,4.3,50.8,2,434,0.7
8.9,1.8,0.0,0,290,4.1
5.6,4.9,52.4,6,372,17.3
9.0,5.3,46.1,4,360,4.1
6.3,3.8,65.7,6,669,6.0
6.7,4.2,36.0,4,151,0.9
8.4,3.0,2.2,0,759,2.3
5.2,5.9,39.3,3,604,3.9
8.8,1.2,24.5,4,225,2.8
9.8,3.8,0.0,1,573,4.0
5.4,4.0,55.0,6,795,0.5
6.7,4.1,51.0,1,819,2.2
7.5,4.2,19.6,3,469,3.5
4.9,5.5,73.3,6,829,8.8
8.2,4.0,12.4,4,402,0.5
4.9,4.7,68.6,8,438,2.7
5.8,4.3,52.3,4,125,6.6
10.0,1.0,0.0,0,318,8.6
6.6,4.3,64.6,8,392,10.9
4.9,4.4,54.2,6,114,2.3
7.3,6.1,35.5,1,353,7.6
6.0,5.8,38.2,4,194,4.8
3.4,8.6,78.4,10,293,3.0
5.5,5.6,71.2,5,533,7.3
6.6,4.3,47.1,5,525,3.9
7.2,3.2,48.2,8,526,2.8
7.1,4.0,21.9,5,688,7.5
6.0,5.2,52.2,5,631,2.9
5.3,5.3,42.2,6,211,1.4
4.2,7.2,49.4,8,394,1.1
6.3,5.6,46.5,8,441,5.3
6.1,4.6,54.8,7,311,0.5
6.3,5.8,55.4,7,424,1.7
4.9,4.5,55.5,8,727,13.3
8.3,3.0,11.3,0,502,27.1
7.7,4.7,50.8,4,250,2.0
6.5,1.3,44.8,5,744,17.6
6.3,5.1,56.3,3,20,3.3
4.6,7.1,61.1,9,208,23.3
6.9,3.3,10.8,5,758,3.7
3.7,7.2,64.1,11,552,6.7
5.1,6.7,77.0,8,490,27.2
9.5,2.5,19.6,0,336,10.9
3.5,7.2,87.5,7,612,3.2
4.7,7.7,53.0,6,297,10.4
7.0,3.9,42.4,1,741,2.0
7.3,3.1,38.6,3,371,4.0
9.0,1.6,34.9,0,249,4.6
9.4,1.0,10.2,0,237,0.9
4.7,7.8,65.1,7,166,0.8
5.1,5.3,50.3,9,239,11.4
9.0,2.5,17.6,3,330,4.6
5.2,5.7,37.5,3,20,11.4
6.3,4.0,30.9,4,623,5.3
9.9,4.5,4.5,3,581,9.0
5.3,2.7,48.0,3,320,2.6
8.7,1.9,12.1,3,279,6.3
7.8,2.3,38.4,4,438,0.5
6.9,4.1,66.7,7,326,0.5
8.5,1.0,40.7,2,157,2.0
3.1,5.4,96.9,12,323,0.5
9.0,1.0,11.6,0,485,9.3
8.3,1.0,40.0,2,778,1.0
5.5,5.3,43.2,5,344,9.3
7.3,4.0,16.9,5,307,6.0
6.6,5.2,57.7,6,538,5.8
7.1,3.3,45.6,2,20,13.0
5.6,6.2,32.0,5,45,0.5
5.2,4.8,52.3,7,523,12.2
5.6,7.2,49.1,6,512,26.7
4.1,6.3,58.1,5,506,13.2
6.2,4.5,45.4,4,370,1.5
7.1,2.5,50.9,4,757,5.7
6.2,4.3,52.2,6,384,2.7
8.1,3.0,26.0,5,498,12.0
4.5,3.9,67.8,3,88,22.4
5.6,4.2,45.4,5,559,10.1
9.5,1.0,22.1,3,539,2.2
8.3,2.4,23.0,3,429,6.5
5.7,4.5,49.5,4,511,5.0
8.9,1.4,31.1,2,595,1.9
8.5,4.1,36.7,2,259,2.7
6.0,5.7,42.2,2,181,16.7
4.3,7.7,78.0,4,275,36.0
7.0,5.3,27.2,5,602,0.7
4.5,4.3,68.2,4,145,5.4
6.8,6.3,46.8,5,415,8.3
6.4,1.0,33.4,1,508,25.9
5.3,4.6,48.5,3,29,0.6
4.6,6.3,71.5,5,242,7.0
6.4,3.5,43.4,6,594,12.7
6.0,3.5,38.5,4,450,13.4
6.5,1.8,41.2,7,679,5.5
3.9,5.1,63.3,7,25,1.8
5.1,6.8,39.5,4,489,8.1
4.7,3.6,55.4,7,382,1.1
6.6,3.8,37.2,4,64,5.7
4.2,4.4,63.5,7,427,8.5
7.2,4.1,62.2,5,214,10.1
6.3,6.9,50.2,5,380,5.9
6.6,4.5,43.7,3,356,3.4
5.1,5.4,38.5,4,366,36.0
7.2,2.4,31.4,4,94,3.8
6.8,6.5,46.9,5,398,11.6
3.9,7.2,66.6,10,736,4.3
4.6,7.7,55.4,5,20,8.0
10.0,1.0,12.1,0,671,1.6
5.6,4.3,30.2,2,20,2.4
8.1,1.0,26.6,3,581,13.3
7.1,7.2,24.4,2,492,1.4
6.3,6.9,37.1,6,716,6.4
5.0,6.1,44.1,7,751,17.0
4.7,3.5,26.2,6,454,23.3
6.0,6.3,47.9,4,228,1.5
7.6,2.2,5.6,5,541,15.5
8.2,1.0,13.2,4,730,0.6
5.8,5.9,38.8,3,794,6.4
10.0,1.0,10.1,1,583,0.5
4.3,5.1,76.5,6,766,4.6
7.0,5.7,30.2,4,699,6.0
8.5,1.6,25.6,4,129,2.5
9.3,1.4,27.1,2,106,6.1
5.4,6.3,68.2,7,585,9.6
4.1,6.3,47.9,4,630,12.6
6.8,3.1,54.6,7,427,1.0
5.0,4.7,68.4,6,406,5.4
4.4,6.2,81.7,9,627,3.1
7.1,4.7,33.4,4,596,7.8
8.4,3.9,23.3,3,781,8.1
5.7,5.7,65.3,0,333,11.1
5.5,6.6,69.4,10,369,2.5
6.6,4.1,28.2,5,56,4.8
6.0,7.1,73.6,4,225,10.4
5.4,4.7,43.4,4,654,4.4
7.5,1.3,31.1,4,367,8.7
8.4,2.7,23.7,1,583,3.5
7.7,2.9,13.0,3,446,7.4
6.2,2.4,22.8,2,654,2.6
4.4,6.7,65.0,6,292,0.8
6.2,4.9,48.2,5,450,4.1
4.2,7.1,52.1,6,501,11.2
8.1,5.4,29.1,3,645,27.5
4.6,7.3,60.3,8,700,1.8
8.1,4.7,28.5,2,152,4.9
8.1,3.0,44.0,1,510,3.8
3.9,6.1,63.8,4,311,2.1
6.4,4.1,50.8,6,628,2.9
7.4,5.5,30.7,5,522,5.0
7.0,4.5,50.9,7,364,18.4
7.3,4.6,35.2,3,639,7.6
7.2,4.0,27.0,1,280,3.7
5.1,5.2,51.8,5,347,0.5
5.5,4.9,53.1,3,596,5.6
7.0,6.0,70.4,6,470,19.8
4.5,6.4,32.1,5,450,7.2
7.6,3.8,27.2,4,417,3.7
9.0,1.0,12.7,0,137,9.1
7.0,2.4,18.5,6,420,6.9
4.7,6.4,44.9,4,210,1.8
4.6,6.8,54.7,6,20,5.5
6.3,4.9,43.0,3,364,6.1
5.3,5.9,51.5,5,889,2.2
8.7,1.6,38.0,1,706,12.8
5.4,7.6,48.4,4,388,11.1
9.3,1.7,0.0,2,222,0.5
4.8,5.7,56.2,8,309,36.0
5.8,3.1,60.0,6,301,10.3
4.8,7.0,51.2,4,77,1.7
7.9,3.0,45.7,3,334,4.0
5.3,7.3,66.1,10,458,7.2
6.3,5.5,40.6,7,627,0.7
9.8,1.0,14.8,0,396,0.9
6.5,5.0,59.8,4,76,1.1
8.3,1.8,27.1,2,507,8.9
8.5,1.5,8.0,5,362,2.6
3.4,7.5,84.7,8,286,0.7
10.0,2.0,6.4,0,428,8.6
10.0,1.0,11.2,5,507,3.7
6.4,3.9,56.1,2,396,8.5
4.6,5.8,53.3,5,707,1.1
4.3,5.7,35.6,9,20,11.0
2.1,7.8,92.1,9,560,9.7
2.5,5.7,90.9,10,590,11.3
10.0,1.6,0.0,0,228,6.8
6.8,2.4,40.5,5,127,5.1
6.7,5.6,73.0,7,332,1.9
5.3,9.1,36.3,5,235,4.6
6.8,2.4,50.9,1,116,21.0
5.4,3.3,61.3,5,695,3.8
3.7,7.1,79.8,8,485,2.7
4.5,8.2,51.1,9,121,0.7
7.2,1.0,34.7,3,318,4.5
8.7,2.3,45.2,3,530,1.0
4.9,7.3,39.4,5,689,22.4
7.7,5.1,12.5,5,661,0.5
6.6,3.0,37.7,3,351,1.7
5.4,5.5,53.0,10,452,4.8
6.2,4.7,54.5,5,310,12.9
7.6,3.6,36.4,2,272,0.7
7.2,4.7,25.7,5,140,6.2
5.7,5.4,38.4,6,588,13.9
8.3,4.2,24.7,2,696,8.9
5.8,4.1,19.6,9,360,2.9
4.3,6.1,52.3,4,241,7.1
1.3,7.4,95.8,11,510,4.0
3.9,6.4,76.3,6,440,11.7
8.5,2.0,13.7,1,390,1.4
4.3,6.9,70.7,9,456,4.6
3.4,9.1,77.3,6,307,0.5
7.9,2.9,70.3,2,552,13.9
5.6,6.7,34.4,7,815,3.5
6.1,5.5,52.4,9,57,4.4
6.7,3.5,55.3,5,357,11.0
7.7,3.3,46.2,3,479,0.9
6.9,4.6,35.7,3,428,10.7
6.9,5.1,33.5,4,645,1.2
6.7,3.6,51.6,3,379,2.1
8.2,1.8,31.4,5,446,0.5
6.9,2.7,29.2,1,334,2.8
9.5,1.1,9.2,0,455,18.9
6.8,4.9,38.3,8,419,1.5
5.7,5.3,62.8,4,593,2.5
8.4,2.9,14.5,0,501,3.8
6.4,5.4,39.3,0,438,8.9
8.6,2.6,45.2,2,690,5.0
8.1,3.7,24.0,1,639,8.7
4.4,6.3,57.2,4,791,7.6
7.8,4.5,17.6,2,614,8.6
8.7,3.5,22.3,3,1074,3.9
4.8,7.4,79.4,9,542,3.3
3.5,6.0,60.0,7,234,1.8
7.1,5.1,61.9,4,237,36.0
5.5,5.2,36.6,5,522,7.7
4.8,5.4,65.9,5,667,4.5
7.4,4.1,27.0,4,195,3.4
6.1,4.3,25.8,8,469,9.9
5.8,7.6,63.7,5,73,24.2
6.2,5.2,32.7,2,747,5.4
7.0,3.9,42.6,4,428,6.2
6.7,4.7,67.1,6,405,2.5
7.5,2.7,27.0,1,413,18.1
6.9,3.2,35.0,3,188,14.9
7.1,5.0,18.2,4,189,9.7
6.2,3.6,31.5,2,142,1.4
7.4,3.2,20.1,3,453,19.7
5.5,7.0,58.6,7,402,3.3
4.2,6.7,70.5,8,136,10.4
3.8,3.5,67.0,4,459,0.5
7.6,3.2,23.1,2,374,6.8
9.8,3.5,30.1,0,584,10.8
3.7,7.7,79.4,8,644,36.0
6.8,4.6,43.1,5,216,0.5
6.0,5.9,46.8,4,365,5.8
3.8,5.0,66.4,6,329,6.4
8.5,1.0,0.4,3,394,17.6
8.5,1.9,0.7,2,595,11.5
6.4,1.0,34.9,4,405,36.0
7.4,2.7,48.2,0,117,1.7
4.7,5.8,63.9,5,20,4.3
7.5,5.4,21.0,2,289,5.8
8.6,1.8,35.4,2,304,8.0
6.3,3.8,65.8,6,586,0.5
4.9,6.3,61.9,4,495,1.4
3.0,8.0,79.6,10,820,12.5
6.1,4.3,43.6,2,530,6.7
5.9,7.3,55.5,5,614,2.1
5.9,5.5,45.0,4,738,6.8
7.6,1.3,30.2,0,290,5.6
8.8,1.8,3.9,0,516,4.1
10.0,1.0,0.0,1,132,5.3
7.0,4.8,62.4,4,674,1.5
5.5,6.2,52.3,9,734,4.5
6.8,3.6,41.5,5,377,3.0
6.7,3.2,60.4,5,638,3.5
8.5,4.3,50.9,3,339,9.5
6.2,5.1,35.9,2,355,4.7
8.0,4.3,50.8,6,669,6.0
7.8,2.0,50.5,3,421,2.5
3.3,6.9,76.3,10,889,17.1
9.5,1.4,1.8,1,423,12.4
5.6,5.2,50.8,5,541,2.6
5.9,4.4,31.3,3,502,28.1
6.6,3.0,27.0,2,278,8.8
6.5,2.5,44.0,2,243,8.7
5.2,5.5,58.6,5,367,3.4
6.6,3.7,33.7,4,665,10.0
2.6,7.8,87.4,8,416,3.2
7.4,2.3,9.8,4,348,4.5
8.5,3.6,32.8,2,515,1.4
7.2,4.5,40.1,5,416,8.6
5.5,4.8,43.3,4,540,22.1
4.9,7.7,49.2,5,691,13.8
6.9,4.3,30.2,6,329,1.2
5.6,4.9,42.9,7,399,9.2
4.5,7.6,64.6,7,420,6.2
7.6,4.5,50.7,6,388,0.5
5.0,8.1,57.6,11,261,4.8
7.9,4.4,43.5,4,298,9.9
5.8,3.2,65.4,5,491,7.7
8.7,2.5,4.0,2,540,5.4
8.0,4.5,52.0,4,304,3.2
7.2,6.5,36.4,3,202,1.3
2.4,8.0,75.9,8,697,3.1
2.9,9.7,60.6,8,573,10.6
7.3,1.3,37.8,2,209,10.1
7.3,4.6,23.7,3,188,8.2
7.6,3.5,17.4,5,260,4.9
4.4,3.4,68.0,5,236,0.5
8.9,2.6,16.7,3,397,18.2
5.7,7.1,58.8,5,497,10.9
5.7,5.6,40.1,6,253,3.2
4.6,6.3,47.9,9,449,0.8
7.5,2.3,2.4,0,350,12.2
7.1,4.4,51.0,0,452,1.1
8.4,1.9,48.2,5,663,8.7
6.9,4.5,31.0,3,71,11.2
5.8,4.7,49.4,5,428,8.3
7.5,6.2,39.7,7,617,14.0
4.7,7.7,40.4,6,347,12.8
5.4,2.3,64.5,8,754,9.7
4.4,5.4,54.4,10,516,3.6
3.7,8.5,62.5,6,656,5.1
7.6,2.1,34.1,0,400,13.8
5.5,8.0,54.5,5,507,4.8
5.3,3.9,62.1,6,568,6.7
5.6,6.1,59.9,4,833,2.0
7.4,1.9,38.3,3,252,11.0
5.0,6.1,60.2,5,410,13.3
6.4,4.3,37.1,4,502,10.4
5.8,6.7,32.3,7,421,5.8
6.8,1.8,49.3,4,563,8.1
4.9,6.6,39.7,4,669,5.1
5.6,6.3,38.4,4,20,7.2
8.8,2.9,32.1,3,581,6.6
3.8,6.5,78.7,6,342,7.8
7.3,4.2,32.5,2,415,4.1
6.2,5.9,47.9,5,386,5.0
3.2,7.8,62.9,5,687,4.3
6.5,4.4,47.7,8,301,10.2
5.1,5.3,40.3,7,320,3.2
8.0,2.4,19.6,4,427,8.4
5.3,3.2,45.7,4,359,10.2
7.3,2.6,24.1,4,505,8.7
4.9,8.3,66.6,6,488,13.0
5.2,6.4,61.2,4,544,6.2
7.5,3.0,34.0,1,482,2.4
5.5,8.1,62.7,6,406,23.3
9.3,1.0,22.6,0,512,20.3
5.9,5.1,56.0,6,290,3.7
7.1,4.5,52.9,2,385,6.7
6.5,2.8,53.3,5,805,3.4
3.9,4.9,89.3,9,508,0.5
5.0,4.8,89.9,5,472,15.1
8.0,2.3,40.7,3,406,13.0
7.7,2.3,56.1,2,473,0.6
3.3,9.0,66.5,6,20,13.0
4.3,6.5,45.8,3,304,7.7
7.7,4.3,24.3,0,292,1.3
5.9,2.5,66.6,4,512,1.4
8.0,3.6,19.3,3,562,6.3
6.5,5.1,64.1,5,240,2.3
7.3,3.5,33.4,5,199,4.5
5.6,5.0,67.5,4,614,36.0
7.8,5.3,69.4,4,538,4.5
8.9,1.0,27.4,5,308,3.6
8.6,3.1,55.3,1,593,3.3
4.6,5.1,60.2,8,374,16.7
6.3,6.2,71.3,4,238,2.9
6.2,6.3,44.0,9,389,4.2
4.4,6.5,74.0,4,739,22.5
4.9,6.7,66.0,8,407,4.3
